Company,Industry,Contact Name,Title,LinkedIn,Email,Pain Signal,Priority,Notes
Tallinna Jahisadam (Tallinn Yacht Club),Marina,Operations Manager,Manager,,,Seasonal booking chaos + slip management,High,Large marina facility - likely manual booking systems
Pirita Top Sailing Center,Marina,Harbor Master,Manager,,,Event coordination + booking conflicts,High,Hosts regattas - complex scheduling needs
Pärnu Jahisadam,Marina,Operations Lead,Manager,,,Maintenance scheduling + customer bookings,High,Seasonal peaks require better systems
Roomassaare Sadam,Marina,Manager,Owner/Manager,,,Small operation but growing,Medium,Expansion opportunity
Baltic Workboats,Shipyard/Fabrication,Project Manager,PM,,,Job costing + time tracking for custom builds,High,Custom vessel builds - quoting complexity
Tallink,Ferry Operations,Operations Director,Director,,,Fleet maintenance scheduling,Medium,Large operation - potential for specialized tools
Palmatin,Modular Housing,Sales Manager,Manager,,,Configurator for custom house options,High,Product customization + quoting
Harmet,Modular Housing,Owner,Founder/CEO,,,Complex pricing for kit homes,High,Multiple SKUs + custom combinations
Ecofin,Prefab Construction,Operations,Manager,,,Build scheduling + material tracking,Medium,Growing modular builder
Kodumaja24,Construction,Sales Lead,Manager,,,Quote generation for custom projects,Medium,Online presence - tech-friendly
Metalcraft OÜ,Metal Fabrication,Owner,Founder,,,Job time tracking + accurate pricing,High,Custom metalwork - pricing pain point
Stalmex,Steel Fabrication,Production Manager,Manager,,,Production scheduling + capacity planning,Medium,Mid-size shop with growth potential
Vabrik,Industrial Fabrication,Operations,Manager,,,Project visibility + resource allocation,Medium,Multiple concurrent projects
Composite OÜ,Composites Fabrication,Technical Lead,Lead Engineer,,,Material waste tracking + job costing,Medium,Specialty materials require precision
Tartu Turg,Event Venue/Marketplace,Venue Manager,Manager,,,Booking system already built (case study),Low,Existing customer - upsell potential
Kultuurikatel,Event Venue,Bookings Coordinator,Coordinator,,,High email volume for event bookings,High,Cultural center - frequent event conflicts
Tallinn Creative Hub,Co-working/Event,Community Manager,Manager,,,Room booking + member management,Medium,Tech-savvy audience
Vaba Lava,Theater/Venue,Operations,Manager,,,Rehearsal + performance scheduling,Medium,Complex calendar needs
Rendin,Equipment Rental,Owner,Founder,,,Availability tracking + booking conflicts,High,Tool/equipment rental - inventory chaos
Storent,Equipment Rental,Operations Manager,Manager,,,Fleet management + maintenance scheduling,High,Large rental operation
Toolid24,Furniture Rental,Sales,Manager,,,Event booking + delivery coordination,Medium,Growing rental business
Party Pluss,Party Rentals,Logistics,Coordinator,,,Order management + delivery scheduling,High,High volume seasonal peaks
Timbeco,Timber Construction,Sales Director,Director,,,Project quoting for timber frames,Medium,Standardized + custom projects
Kannustalo,House Kits,Owner,Founder/CEO,,,Kit configurator + pricing calculator,High,House kit customization needs
Egger Timber,Sawmill/Production,Production Manager,Manager,,,Production planning + inventory,Medium,B2B focus - efficiency gains
Maru Metall,Metal Structures,Project Lead,PM,,,Custom steel structure quoting,High,Complex engineering + pricing
Ideaalmeister,Handyman Services,Owner,Founder,,,Time tracking for accurate invoicing,Medium,Multi-trade service provider
Remondimees OÜ,Renovation,Operations,Manager,,,Job scheduling + customer communication,Medium,Growing renovation business
ProHandy,Maintenance Services,Dispatcher,Coordinator,,,Technician scheduling + job tracking,High,Multi-location service calls
SmartFix,Appliance Repair,Owner,Founder,,,Appointment booking + parts inventory,Medium,Subscription service model potential
Nordic Boats,Boat Builder,Sales,Manager,,,Custom boat configurator + quoting,High,Bespoke builds - pricing complexity